Camera_Id,SourceId,Location,Issue_Category,Issue_Type,Issue_Description,Current_Value,Suggested_Fix,Severity
90320,103281,"I-15 RWIS NB @ Willard/Perry POE / MP 358.88, PRY",Naming,City_Mismatch,Location abbreviation does not match enriched City,PRY (Perry),Expected PRY but camera is in Willard,Medium
90784,103138,"SR-30 RWIS WB @ BE/CA County Line / MP 99.24, BE",Naming,County_Mismatch,Location abbreviation does not match enriched County,BE (Box Elder County),Expected BE but camera is in CACHE,Medium
90831,104156,SR-56 RWIS WB @ Iron Mountain Summit / MP 43.1 RN                                                   ,Naming,Missing_Comma_Separator,Location missing comma before city/county,SR-56 RWIS WB @ Iron Mountain Summit / MP 43.1 RN                                                   ,Add comma before city/county abbreviation,Medium
90877,104017,Solar,Naming,Missing_At_Separator,Location missing @ separator,Solar,Add @ to separate route from landmark,Medium
90877,104017,Solar,Naming,Missing_Comma_Separator,Location missing comma before city/county,Solar,Add comma before city/county abbreviation,Medium
90228,103895,UDOT Rural - Trailer 5                                                                              ,Naming,Missing_At_Separator,Location missing @ separator,UDOT Rural - Trailer 5                                                                              ,Add @ to separate route from landmark,Medium
90228,103895,UDOT Rural - Trailer 5                                                                              ,Naming,Missing_Comma_Separator,Location missing comma before city/county,UDOT Rural - Trailer 5                                                                              ,Add comma before city/county abbreviation,Medium
90322,103893,UDOT Rural - Trailer 2                                                                              ,Naming,Missing_At_Separator,Location missing @ separator,UDOT Rural - Trailer 2                                                                              ,Add @ to separate route from landmark,Medium
90322,103893,UDOT Rural - Trailer 2                                                                              ,Naming,Missing_Comma_Separator,Location missing comma before city/county,UDOT Rural - Trailer 2                                                                              ,Add comma before city/county abbreviation,Medium
91416,102508,Solar,Naming,Missing_At_Separator,Location missing @ separator,Solar,Add @ to separate route from landmark,Medium
91416,102508,Solar,Naming,Missing_Comma_Separator,Location missing comma before city/county,Solar,Add comma before city/county abbreviation,Medium
